	start	end	Support	Neutral	Contradict
1_2	1	2	3.276	4.886	2.785
2_3	2	3	1.936	2.732	2.192
3_4	3	4	1.578	1.775	1.197
4_5	4	5	0.956	1.400	0.886
5_6	5	6	0.756	1.058	0.733
6_7	6	7	0.727	0.902	0.531
7_8	7	8	0.600	0.808	0.615
8_9	8	9	0.434	0.622	0.726
9_10	9	10	0.407	0.723	0.513
10_11	10	11	0.371	0.560	0.373
11_12	11	12	0.411	0.495	0.433
12_13	12	13	0.374	0.452	0.378
13_14	13	14	0.322	0.423	0.320
14_15	14	15	0.275	0.511	0.282
15_16	15	16	0.306	0.428	0.304
16_17	16	17	0.347	0.358	0.210
17_18	17	18	0.267	0.359	0.279
18_19	18	19	0.245	0.358	0.247
19_20	19	20	0.235	0.291	0.197
20_21	20	21	0.216	0.307	0.199
21_22	21	22	0.202	0.256	0.192
22_23	22	23	0.165	0.338	0.228
23_24	23	24	0.234	0.229	0.153
24_25	24	25	0.245	0.240	0.177
25_26	25	26	0.151	0.220	0.172
26_27	26	27	0.138	0.227	0.137
27_28	27	28	0.135	0.211	0.175
28_29	28	29	0.156	0.223	0.144
29_30	29	30	0.178	0.202	0.183
30_31	30	31	0.130	0.199	0.140
31_32	31	32	0.191	0.192	0.166
32_33	32	33	0.121	0.170	0.176
33_34	33	34	0.132	0.159	0.163
34_35	34	35	0.127	0.183	0.149
35_36	35	36	0.127	0.166	0.118
36_37	36	37	0.106	0.171	0.151
37_38	37	38	0.096	0.156	0.132
38_39	38	39	0.107	0.170	0.102
39_40	39	40	0.102	0.142	0.092
40_41	40	41	0.089	0.138	0.102
41_42	41	42	0.101	0.137	0.091
42_43	42	43	0.104	0.136	0.099
43_44	43	44	0.154	0.135	0.105
44_45	44	45	0.076	0.156	0.099
45_46	45	46	0.124	0.119	0.108
46_47	46	47	0.103	0.124	0.148
47_48	47	48	0.078	0.112	0.089
48_49	48	49	0.099	0.146	0.090
49_50	49	50	0.084	0.109	0.106
50_51	50	51	0.082	0.110	0.081
51_52	51	52	0.095	0.094	0.078
52_53	52	53	0.083	0.115	0.078
53_54	53	54	0.070	0.100	0.086
54_55	54	55	0.087	0.129	0.095
55_56	55	56	0.071	0.107	0.098
56_57	56	57	0.072	0.113	0.062
57_58	57	58	0.087	0.102	0.087
58_59	58	59	0.067	0.108	0.062
59_60	59	60	0.086	0.109	0.074
60_61	60	61	0.082	0.101	0.058
61_62	61	62	0.066	0.089	0.070
62_63	62	63	0.069	0.108	0.085
63_64	63	64	0.076	0.088	0.080
64_65	64	65	0.081	0.082	0.059
65_66	65	66	0.056	0.091	0.072
66_67	66	67	0.063	0.085	0.070
67_68	67	68	0.059	0.101	0.060
68_69	68	69	0.062	0.085	0.071
69_70	69	70	0.059	0.085	0.082
70_71	70	71	0.066	0.089	0.052
71_72	71	72	0.058	0.076	0.054
72_73	72	73	0.056	0.079	0.077
73_74	73	74	0.094	0.091	0.073
74_75	74	75	0.055	0.079	0.052
75_76	75	76	0.055	0.072	0.054
76_77	76	77	0.049	0.072	0.064
77_78	77	78	0.049	0.068	0.061
78_79	78	79	0.053	0.075	0.088
79_80	79	80	0.079	0.082	0.053
80_81	80	81	0.053	0.075	0.062
81_82	81	82	0.044	0.078	0.045
82_83	82	83	0.060	0.069	0.059
83_84	83	84	0.051	0.085	0.054
84_85	84	85	0.049	0.058	0.043
85_86	85	86	0.050	0.081	0.044
86_87	86	87	0.049	0.067	0.047
87_88	87	88	0.059	0.070	0.051
88_89	88	89	0.053	0.064	0.048
89_90	89	90	0.049	0.090	0.045
90_91	90	91	0.048	0.068	0.056
91_92	91	92	0.040	0.062	0.051
92_93	92	93	0.048	0.074	0.059
93_94	93	94	0.057	0.064	0.061
94_95	94	95	0.045	0.057	0.048
95_96	95	96	0.069	0.058	0.055
96_97	96	97	0.050	0.067	0.046
97_98	97	98	0.045	0.062	0.056
98_99	98	99	0.051	0.055	0.047
99_100	99	100	0.042	0.057	0.038
